npanxx,lata,ocn
603736,122,5113
603740,122,5113
603742,122,5113
603743,122,5113
603744,122,5113
603745,122,5113
603747,122,5113
603749,122,5113
603750,122,5113
603752,122,5113
603753,122,5113
603755,122,5113
603756,122,5113
603763,122,5113
603764,122,5113
603768,122,5113
603771,122,5113
603772,122,5113
603773,122,5113
603775,122,5113
603777,122,5113
603778,122,5113
603783,122,5113
603786,122,5113
603787,122,5113
603788,122,5113
603791,122,5113
603795,122,5113
603823,122,5113
603826,122,5113
603827,122,5113
603835,122,5113
603837,122,5113
603838,122,5113
603846,122,5113
603847,122,5113
603863,122,5113
603864,122,5113
603865,122,5113
603868,122,5113
603869,122,5113
603870,122,5113
603876,122,5113
603878,122,5113
603879,122,5113
603880,122,5113
603881,122,5113
603882,122,5113
603883,122,5113
603884,122,5113
603885,122,5113
603886,122,5113
603888,122,5113
603889,122,5113
603890,122,5113
603891,122,5113
603893,122,5113
603894,122,5113
603895,122,5113
603896,122,5113
603897,122,5113
603898,122,5113
603899,122,5113
603922,122,5113
603924,122,5113
603926,122,5113
603929,122,5113
603934,122,5113
603942,122,5113
603964,122,5113
603968,122,5113
603989,122,5113
802649,122,5115
802722,122,5115
802757,122,5115
802785,122,5115
603820,122,5562
603360,122,573F
603932,122,626E
603204,122,6290
603208,122,6290
603209,122,6290
603252,122,6290
603254,122,6290
603261,122,6290
603290,122,6290
603304,122,6290
603313,122,6290
603341,122,6290
603344,122,6290
603345,122,6290
603348,122,6290
603349,122,6290
603381,122,6290
603393,122,6290
603398,122,6290
603412,122,6290
603414,122,6290
603419,122,6290
603454,122,6290
603455,122,6290
603461,122,6290
603470,122,6290
603477,122,6290
603486,122,6290
603504,122,6290
603533,122,6290
603554,122,6290
603562,122,6290
603582,122,6290
603616,122,6290
603620,122,6290
603631,122,6290
603651,122,6290
603662,122,6290
603680,122,6290
603723,122,6290
603848,122,6290
603945,122,637E
603217,122,6386
603276,122,6386
603303,122,6386
603305,122,6386
603307,122,6386
603309,122,6386
603312,122,6386
603315,122,6386
603318,122,6386
603321,122,6386
603340,122,6386
603359,122,6386
603361,122,6386
603370,122,6386
603387,122,6386
603401,122,6386
603402,122,6386
603404,122,6386
603475,122,6386
603481,122,6386
603490,122,6386
603491,122,6386
603493,122,6386
603494,122,6386
603496,122,6386
603498,122,6386
603505,122,6386
603508,122,6386
603513,122,6386
603520,122,6386
603530,122,6386
603534,122,6386
603540,122,6386
603548,122,6386
603558,122,6386
603566,122,6386
603568,122,6386
603630,122,6386
603660,122,6386
603686,122,6386
603702,122,6386
603707,122,6386
603714,122,6386
603718,122,6386
603731,122,6386
603748,122,6386
603759,122,6386
603762,122,6386
603770,122,6386
603790,122,6386
603801,122,6386
603809,122,6386
603812,122,6386
603828,122,6386
603831,122,6386
603833,122,6386
603851,122,6386
603860,122,6386
603915,122,6386
603918,122,6386
603921,122,6386
603933,122,6386
603937,122,6386
603960,122,6386
603986,122,6386
603991,122,6386
603716,122,651D
603839,122,651D
603903,122,651D
603219,122,6664
603231,122,6664
603234,122,6664
603235,122,6664
603300,122,6664
603365,122,6664
603396,122,6664
603438,122,6664
603512,122,6664
603557,122,6664
603591,122,6664
603608,122,6664
603661,122,6664
603674,122,6664
603682,122,6664
603721,122,6664
603765,122,6664
603793,122,6664
603799,122,6664
603817,122,6664
603818,122,6664
603944,122,6664
603966,122,6664
603969,122,6664
603973,122,6664
603988,122,6664
603995,122,6664
603996,122,6664
603997,122,6664
603998,122,6664
603205,122,6889
603233,122,6889
603264,122,6889
603265,122,6889
603275,122,6889
603377,122,6889
603417,122,6889
603852,122,6889
603858,122,6889
603866,122,6889
603892,122,6889
603943,122,6889
603518,122,7421
603521,122,7421
603760,122,7421
603263,122,7778
603270,122,7778
603273,122,7778
603274,122,7778
603282,122,7778
603285,122,7778
603317,122,7778
603324,122,7778
603325,122,7778
603338,122,7778
603350,122,7778
603351,122,7778
603390,122,7778
603395,122,7778
603420,122,7778
603460,122,7778
603503,122,7778
603552,122,7778
603573,122,7778
603575,122,7778
603587,122,7778
603592,122,7778
603597,122,7778
603613,122,7778
603637,122,7778
603667,122,7778
603671,122,7778
603677,122,7778
603690,122,7778
603712,122,7778
603729,122,7778
603730,122,7778
603732,122,7778
603734,122,7778
603739,122,7778
603751,122,7778
603779,122,7778
603784,122,7778
603797,122,7778
603824,122,7778
603829,122,7778
603861,122,7778
603901,122,7778
603931,122,7778
603941,122,7778
603391,122,8299
603405,122,8299
603570,122,8299
603815,122,8299
603214,122,8468
603215,122,8468
603250,122,8468
603257,122,8468
603297,122,8468
603372,122,8468
603388,122,8468
603415,122,8468
603452,122,8468
603462,122,8468
603468,122,8468
603516,122,8468
603590,122,8468
603658,122,8468
603676,122,8468
603687,122,8468
603719,122,8468
603737,122,8468
603754,122,8468
603761,122,8468
603766,122,8468
603789,122,8468
603792,122,8468
603816,122,8468
603843,122,8468
603853,122,8468
603925,122,8468
603928,122,8468
603947,122,8468
603971,122,8468
603994,122,8468
603375,122,853C
603912,122,8700
603218,122,9247
603386,122,9247
603703,122,9827
603904,122,9827
603905,122,9827
603722,122,996E
802285,124,0053
802226,124,0058
802228,124,0058
802557,124,005F
802485,124,0061
802263,124,0062
802273,124,0064
802462,124,0064
802537,124,0064
802623,124,0064
802897,124,0064
802948,124,0064
802439,124,0068
802329,124,0069
802425,124,0069
802434,124,0069
802453,124,0069
802475,124,0069
802482,124,0069
802496,124,0069
802545,124,0069
802583,124,0069
802758,124,0069
802759,124,0069
802540,124,086D
802391,124,208H
802547,124,208H
802218,124,263E
802268,124,263E
802269,124,263E
802271,124,263E
802298,124,263E
802315,124,263E
802336,124,263E
802344,124,263E
802358,124,263E
802374,124,263E
802389,124,263E
802396,124,263E
802414,124,263E
802495,124,263E
802497,124,263E
802539,124,263E
802554,124,263E
802643,124,263E
802795,124,263E
802799,124,263E
802926,124,263E
802975,124,263E
802424,124,2699
802478,124,2699
802488,124,2699
802923,124,2699
802267,124,3037
802322,124,3037
802383,124,3037
802498,124,3037
802560,124,3037
802661,124,3037
802665,124,3037
802857,124,3037
802326,124,3331
802426,124,3331
802429,124,3331
802563,124,3331
802584,124,3331
802592,124,3331
802796,124,3331
802928,124,3331
802235,124,3332
802259,124,3332
802293,124,3332
802325,124,3332
802422,124,3332
802436,124,3332
802446,124,3332
802492,124,3332
802672,124,3332
802843,124,3332
802869,124,3332
802875,124,3332
802885,124,3332
802886,124,3332
802246,124,3454
802262,124,3454
802359,124,3454
802367,124,3454
802398,124,3454
802432,124,3454
802445,124,3454
802460,124,3454
802477,124,3454
802556,124,3454
802721,124,3454
802745,124,3454
802774,124,3454
802861,124,3454
802876,124,3454
802209,124,3521
802216,124,3521
802302,124,3521
802304,124,3521
802404,124,3521
802407,124,3521
802515,124,3521
802519,124,3521
802609,124,3521
802610,124,3521
802713,124,3521
802714,124,3521
802806,124,3521
802812,124,3521
802904,124,3521
802908,124,3521
802909,124,3521
802489,124,366E
802279,124,4036
802324,124,4036
802343,124,4036
802349,124,4036
802353,124,4036
802355,124,4036
802356,124,4036
802363,124,4036
802373,124,4036
802379,124,4036
802380,124,4036
802393,124,4036
802397,124,4036
802491,124,4036
802535,124,4036
802582,124,4036
802595,124,4036
802673,124,4036
802696,124,4036
802782,124,4036
802793,124,4036
802825,124,4036
802952,124,4036
802350,124,4721
802351,124,4721
802450,124,4721
802826,124,4721
603256,124,5113
603298,124,5113
603353,124,5113
603638,124,5113
603675,124,5113
802222,124,5115
802223,124,5115
802224,124,5115
802229,124,5115
802234,124,5115
802240,124,5115
802241,124,5115
802244,124,5115
802247,124,5115
802250,124,5115
802251,124,5115
802253,124,5115
802254,124,5115
802257,124,5115
802258,124,5115
802265,124,5115
802266,124,5115
802270,124,5115
802276,124,5115
802277,124,5115
802280,124,5115
802281,124,5115
802283,124,5115
802287,124,5115
802288,124,5115
802290,124,5115
802291,124,5115
802295,124,5115
802296,124,5115
802297,124,5115
802328,124,5115
802333,124,5115
802334,124,5115
802338,124,5115
802348,124,5115
802352,124,5115
802362,124,5115
802365,124,5115
802366,124,5115
802368,124,5115
802371,124,5115
802372,124,5115
802375,124,5115
802382,124,5115
802387,124,5115
802388,124,5115
802394,124,5115
802423,124,5115
802433,124,5115
802438,124,5115
802440,124,5115
802442,124,5115
802443,124,5115
802447,124,5115
802452,124,5115
802454,124,5115
802456,124,5115
802457,124,5115
802459,124,5115
802461,124,5115
802463,124,5115
802464,124,5115
802467,124,5115
802468,124,5115
802472,124,5115
802476,124,5115
802479,124,5115
802483,124,5115
802484,124,5115
802524,124,5115
802525,124,5115
802527,124,5115
802528,124,5115
802533,124,5115
802546,124,5115
802586,124,5115
802626,124,5115
802633,124,5115
802635,124,5115
802644,124,5115
802645,124,5115
802651,124,5115
802652,124,5115
802654,124,5115
802655,124,5115
802657,124,5115
802658,124,5115
802660,124,5115
802674,124,5115
802676,124,5115
802684,124,5115
802685,124,5115
802694,124,5115
802695,124,5115
802712,124,5115
802723,124,5115
802728,124,5115
802737,124,5115
802741,124,5115
802742,124,5115
802744,124,5115
802746,124,5115
802747,124,5115
802748,124,5115
802749,124,5115
802751,124,5115
802754,124,5115
802755,124,5115
802763,124,5115
802765,124,5115
802766,124,5115
802767,124,5115
802769,124,5115
802770,124,5115
802772,124,5115
802773,124,5115
802775,124,5115
802786,124,5115
802822,124,5115
802823,124,5115
802824,124,5115
802827,124,5115
802828,124,5115
802848,124,5115
802849,124,5115
802859,124,5115
802860,124,5115
802862,124,5115
802863,124,5115
802864,124,5115
802865,124,5115
802866,124,5115
802867,124,5115
802868,124,5115
802871,124,5115
802872,124,5115
802873,124,5115
802874,124,5115
802877,124,5115
802878,124,5115
802879,124,5115
802883,124,5115
802888,124,5115
802889,124,5115
802892,124,5115
802893,124,5115
802895,124,5115
802896,124,5115
802899,124,5115
802933,124,5115
802951,124,5115
802962,124,5115
802985,124,5115
802988,124,5115
802331,124,573F
802575,124,573F
802420,124,6184
802756,124,6184
802854,124,6184
802961,124,6184
802231,124,6289
802376,124,6289
802384,124,6289
802548,124,6289
802579,124,6289
802688,124,6289
802738,124,6289
802780,124,6289
802233,124,6390
802236,124,6390
802238,124,6390
802249,124,6390
802272,124,6390
802274,124,6390
802289,124,6390
802309,124,6390
802345,124,6390
802417,124,6390
802490,124,6390
802505,124,6390
802558,124,6390
802578,124,6390
802585,124,6390
802591,124,6390
802598,124,6390
802624,124,6390
802689,124,6390
802734,124,6390
802777,124,6390
802855,124,6390
802989,124,6390
802999,124,6390
802310,124,6664
802316,124,6664
802342,124,6664
802369,124,6664
802370,124,6664
802377,124,6664
802399,124,6664
802503,124,6664
802559,124,6664
802683,124,6664
802839,124,6664
802829,124,6889
802221,124,7188
802225,124,7188
802227,124,7188
802230,124,7188
802232,124,7188
802239,124,7188
802242,124,7188
802243,124,7188
802245,124,7188
802255,124,7188
802264,124,7188
802278,124,7188
802284,124,7188
802299,124,7188
802319,124,7188
