CODE,INTERSTATE,INTRASTATE,Rate
201599,0.01554,0.01554,
201600,0.00375,0.00375,
201601,0.01554,0.01554,
201602,0.00375,0.00375,
201603,0.006,0.006,
201604,0.006,0.006,
201605,0.006,0.006,
201606,0.006,0.006,
201607,0.00467,0.00467,
201608,0.006,0.006,
201610,0.01554,0.01554,
201612,0.01554,0.01554,
201613,0.006,0.006,
201614,0.0259,0.0259,
201615,0.00375,0.00375,
201616,0.01554,0.01554,
201617,0.01554,0.01554,
201618,0.00375,0.00375,
201619,0.00467,0.00467,
201620,0.01196,0.01196,
201621,0.006,0.006,
201622,0.006,0.006,
201623,0.006,0.006,
201624,0.01002,0.01002,
201625,0.006,0.006,
201626,0.01554,0.01554,
201627,0.01032,0.01032,
201628,0.00691,0.00691,
201629,0.00467,0.00467,
201630,0.00469,0.00469,
201631,0.01554,0.01554,
201632,0.006,0.006,
201633,0.00695,0.00695,
201634,0.01554,0.01554,
201635,0.01554,0.01554,
201636,0.00887,0.00887,
201637,0.0043,0.0043,
201638,0.00375,0.00375,
201639,0.01461,0.01461,
201640,0.0052,0.0052,
201641,0.01554,0.01554,
201642,0.006,0.006,
201643,0.006,0.006,
201644,0.00591,0.00591,
201645,0.00691,0.00691,
201646,0.01554,0.01554,
201647,0.0052,0.0052,
201648,0.00946,0.00946,
201649,0.01461,0.01461,
201650,0.0043,0.0043,
201651,0.01554,0.01554,
201652,0.01554,0.01554,
201653,0.01554,0.01554,
201654,0.00333,0.00333,
201655,0.00766,0.00766,
201656,0.01554,0.01554,
201657,0.0043,0.0043,
201658,0.0052,0.0052,
201659,0.01554,0.01554,
201660,0.00333,0.00333,
201661,0.01461,0.01461,
201662,0.01554,0.01554,
201663,0.00695,0.00695,
201664,0.01554,0.01554,
201665,0.0043,0.0043,
201666,0.01554,0.01554,
201667,0.0052,0.0052,
201668,0.0043,0.0043,
201669,0.00695,0.00695,
201670,0.01554,0.01554,
201671,0.01554,0.01554,
201672,0.01554,0.01554,
201673,0.00607,0.00607,
201674,0.0043,0.0043,
201675,0.0043,0.0043,
201676,0.01032,0.01032,
201677,0.01554,0.01554,
201678,0.01554,0.01554,
201679,0.00469,0.00469,
201680,0.01554,0.01554,
201681,0.00469,0.00469,
201682,0.0052,0.0052,
201683,0.00603,0.00603,
201684,0.01554,0.01554,
201685,0.01554,0.01554,
201686,0.00469,0.00469,
201687,0.0052,0.0052,
201688,0.01032,0.01032,
201689,0.01554,0.01554,
201690,0.00695,0.00695,
201691,0.01554,0.01554,
201692,0.01554,0.01554,
201693,0.01461,0.01461,
201694,0.00375,0.00375,
201695,0.01554,0.01554,
201696,0.00695,0.00695,
201697,0.00469,0.00469,
201698,0.00467,0.00467,
201699,0.01032,0.01032,
201701,0.00762,0.00762,
201702,0.00469,0.00469,
201703,0.01554,0.01554,
201704,0.00375,0.00375,
201705,0.00887,0.00887,
201706,0.0043,0.0043,
201707,0.0043,0.0043,
201708,0.01461,0.01461,
201709,0.0043,0.0043,
201710,0.0059,0.0059,
201712,0.01554,0.01554,
201713,0.01196,0.01196,
201714,0.01554,0.01554,
201715,0.0043,0.0043,
201716,0.01461,0.01461,
201718,0.00467,0.00467,
201719,0.01461,0.01461,
201720,0.01461,0.01461,
201721,0.01109,0.01109,
201722,0.01554,0.01554,
201723,0.0043,0.0043,
201724,0.0052,0.0052,
201725,0.00375,0.00375,
201726,0.01032,0.01032,
201727,0.01554,0.01554,
201728,0.01554,0.01554,
201729,0.01554,0.01554,
201730,0.01554,0.01554,
201731,0.00691,0.00691,
201733,0.00695,0.00695,
201734,0.006,0.006,
201735,0.00695,0.00695,
201736,0.0052,0.0052,
201737,0.0052,0.0052,
201738,0.0043,0.0043,
201739,0.00375,0.00375,
201740,0.00691,0.00691,
201741,0.00375,0.00375,
201742,0.006,0.006,
201743,0.01196,0.01196,
201744,0.00581,0.00581,
201745,0.0043,0.0043,
201746,0.00591,0.00591,
201747,0.0043,0.0043,
201748,0.00333,0.00333,
201749,0.0043,0.0043,
201750,0.01554,0.01554,
201751,0.00691,0.00691,
201752,0.01554,0.01554,
201753,0.00887,0.00887,
201754,0.00691,0.00691,
201755,0.0043,0.0043,
201756,0.00467,0.00467,
201757,0.0052,0.0052,
201758,0.01554,0.01554,
201759,0.00469,0.00469,
201760,0.01554,0.01554,
201761,0.01554,0.01554,
201762,0.01196,0.01196,
201763,0.01032,0.01032,
201764,0.00887,0.00887,
201765,0.00691,0.00691,
201766,0.01554,0.01554,
201767,0.01554,0.01554,
201768,0.01554,0.01554,
201769,0.00467,0.00467,
201770,0.01554,0.01554,
201771,0.00892,0.00892,
201772,0.00469,0.00469,
201773,0.00641,0.00641,
201774,0.0043,0.0043,
201775,0.01554,0.01554,
201776,0.00469,0.00469,
201777,0.00695,0.00695,
201778,0.00607,0.00607,
201779,0.0052,0.0052,
201780,0.00469,0.00469,
201781,0.00946,0.00946,
201782,0.01554,0.01554,
201783,0.01032,0.01032,
201784,0.01554,0.01554,
201785,0.01554,0.01554,
201786,0.00946,0.00946,
201787,0.00375,0.00375,
201788,0.00375,0.00375,
201789,0.00467,0.00467,
201790,0.0052,0.0052,
201791,0.01554,0.01554,
201792,0.01554,0.01554,
201793,0.01196,0.01196,
201794,0.01554,0.01554,
201795,0.01554,0.01554,
201796,0.01554,0.01554,
201797,0.01554,0.01554,
201798,0.01554,0.01554,
201799,0.01461,0.01461,
201800,0.00333,0.00333,
201801,0.01554,0.01554,
201802,0.01554,0.01554,
201803,0.00375,0.00375,
201804,0.01554,0.01554,
201805,0.0043,0.0043,
201806,0.01461,0.01461,
201807,0.01554,0.01554,
201808,0.01461,0.01461,
201809,0.01461,0.01461,
201810,0.00467,0.00467,
201812,0.01461,0.01461,
201813,0.00467,0.00467,
201814,0.01554,0.01554,
201815,0.00375,0.00375,
201816,0.01554,0.01554,
201817,0.01554,0.01554,
201818,0.01554,0.01554,
201819,0.00375,0.00375,
201820,0.01554,0.01554,
201821,0.00887,0.00887,
201822,0.006,0.006,
201823,0.01554,0.01554,
201824,0.00695,0.00695,
201825,0.01554,0.01554,
201826,0.0043,0.0043,
201827,0.01554,0.01554,
201828,0.01554,0.01554,
201829,0.006,0.006,
201830,0.01554,0.01554,
201831,0.01554,0.01554,
201832,0.00469,0.00469,
201833,0.01554,0.01554,
201834,0.01032,0.01032,
201835,0.01032,0.01032,
201836,0.01554,0.01554,
201837,0.01554,0.01554,
201838,0.00469,0.00469,
201839,0.00691,0.00691,
201840,0.01554,0.01554,
201841,0.00375,0.00375,
201842,0.01554,0.01554,
201843,0.01554,0.01554,
201844,0.00695,0.00695,
201845,0.01554,0.01554,
201846,0.00375,0.00375,
201847,0.01554,0.01554,
201848,0.01554,0.01554,
201849,0.00695,0.00695,
201850,0.01554,0.01554,
201851,0.0043,0.0043,
201852,0.00469,0.00469,
201853,0.00887,0.00887,
201854,0.01554,0.01554,
201855,0.00774,0.00774,
201857,0.00591,0.00591,
201858,0.01554,0.01554,
201859,0.0043,0.0043,
201860,0.01554,0.01554,
201861,0.01554,0.01554,
201862,0.01554,0.01554,
201863,0.01554,0.01554,
201864,0.01554,0.01554,
201865,0.01554,0.01554,
201866,0.01554,0.01554,
201867,0.01554,0.01554,
201868,0.01554,0.01554,
201869,0.01554,0.01554,
201870,0.00545,0.00545,
201871,0.01554,0.01554,
201872,0.01554,0.01554,
201873,0.0052,0.0052,
201874,0.00375,0.00375,
201875,0.00581,0.00581,
201876,0.01554,0.01554,
201877,0.0052,0.0052,
201878,0.01196,0.01196,
201879,0.00596,0.00596,
201880,0.00591,0.00591,
201881,0.0043,0.0043,
201882,0.00695,0.00695,
201883,0.01554,0.01554,
201884,0.00588,0.00588,
201885,0.01001,0.01001,
201886,0.01554,0.01554,
201887,0.0052,0.0052,
201888,0.0043,0.0043,
201889,0.0052,0.0052,
201890,0.00607,0.00607,
201891,0.01554,0.01554,
201892,0.00469,0.00469,
201893,0.0052,0.0052,
201894,0.01554,0.01554,
201895,0.0052,0.0052,
201896,0.01554,0.01554,
201897,0.00695,0.00695,
201898,0.00887,0.00887,
201899,0.0052,0.0052,
201901,0.00467,0.00467,
201902,0.01554,0.01554,
201903,0.00581,0.00581,
201904,0.00469,0.00469,
201905,0.00695,0.00695,
201906,0.00375,0.00375,
201907,0.01554,0.01554,
201909,0.01554,0.01554,
201910,0.0043,0.0043,
201912,0.0043,0.0043,
201913,0.0043,0.0043,
201914,0.0043,0.0043,
201915,0.01554,0.01554,
201916,0.0043,0.0043,
201917,0.01461,0.01461,
201918,0.0043,0.0043,
201919,0.00375,0.00375,
201920,0.0052,0.0052,
201921,0.00469,0.00469,
201923,0.00469,0.00469,
201924,0.0043,0.0043,
201925,0.0052,0.0052,
201926,0.00469,0.00469,
201927,0.00469,0.00469,
201928,0.01554,0.01554,
201929,0.00467,0.00467,
201930,0.01554,0.01554,
201931,0.01554,0.01554,
201932,0.0052,0.0052,
201933,0.01554,0.01554,
201934,0.01554,0.01554,
